signal,n_cells,n_pos_A,n_pos_M,kappa_AM,po_AM,kappa_mean,kappa_min,fleiss_kappa,conv_kappa_mean,masked_kappa_mean,masked_n_cells
adaptation,166,6,6,0.827,0.988,0.827,0.827,0.827,0.8,0.822,96
ai_acknowledges_correction,166,13,12,0.957,0.994,0.957,0.957,0.957,1.0,1.0,70
ai_asked_clarifying_question,166,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
ai_asks_followup,166,19,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
ai_asserts_knowledge_limit,166,6,5,0.906,0.994,0.906,0.906,0.906,0.737,0.904,96
ai_cites_source,166,4,5,0.657,0.982,0.657,0.657,0.657,1.0,0.647,78
ai_flags_complexity,166,2,0,,0.988,,,-0.006,,,70
ai_hedges_uncertainty,166,10,6,0.738,0.976,0.738,0.738,0.737,0.8,0.729,96
ai_malfunction,166,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96
ai_missing_retrieval,166,0,1,,0.994,,,-0.003,,,75
ai_normalizes_difficulty,166,0,0,,1.0,,,,,,70
ai_offered_options,166,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
ai_offers_to_elaborate,166,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
ai_provides_alternatives,166,3,1,0.495,0.988,0.495,0.495,0.494,0.412,0.489,70
ai_provides_caveats,166,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96
ai_provides_example,166,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
ai_provides_step_by_step,166,8,7,0.93,0.994,0.93,0.93,0.93,0.8,0.925,70
ai_references_prior_turn,166,6,2,0.491,0.976,0.491,0.491,0.488,0.4,0.478,70
ai_refuses_or_declines,166,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
ai_structured_response,166,13,17,0.781,0.964,0.781,0.781,0.78,1.0,0.784,70
ai_validates_user,166,7,7,0.702,0.976,0.702,0.702,0.702,0.348,0.683,70
ai_warns_user,166,3,1,0.495,0.988,0.495,0.495,0.494,1.0,0.489,70
appropriate_confidence,166,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96
conversation_stalled,166,5,2,0.564,0.982,0.564,0.564,0.562,0.737,0.554,75
error_recovery,166,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83
ethical_tension,166,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83
factual_error,166,5,3,0.488,0.976,0.488,0.488,0.488,0.412,0.48,96
false_confidence,166,13,13,0.833,0.976,0.833,0.833,0.833,1.0,0.822,96
off_topic_drift,166,0,0,,1.0,,,,,,70
performative_hedge,166,0,0,,1.0,,,,,,70
problem_ignored,166,2,3,0.797,0.994,0.797,0.797,0.797,0.615,0.795,96
repetition,166,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88
request_unfulfilled,166,5,3,0.744,0.988,0.744,0.744,0.744,0.737,0.74,96
user_abandons_thread,166,0,0,,1.0,,,,,,70
user_ambiguous_request,166,2,0,,0.988,,,-0.006,,,70
user_asks_clarification,166,3,1,0.495,0.988,0.495,0.495,0.494,0.412,0.489,70
user_corrects_ai,166,12,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
user_empowered,166,0,0,,1.0,,,,,,70
user_expresses_dissatisfaction,166,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
user_implicit_correction,166,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
user_misled,166,0,0,,1.0,,,,,,70
user_multi_request,166,2,1,0.664,0.994,0.664,0.664,0.664,0.615,0.66,70
user_positive_feedback,166,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70
user_provides_invalid_input,166,1,0,,0.994,,,-0.003,,,70
user_repeats_request,166,4,4,0.744,0.988,0.744,0.744,0.744,0.737,0.735,70
user_validation_seeking,166,5,6,0.906,0.994,0.906,0.906,0.906,1.0,0.901,70
