signal,c_index,block_idx,block_role,role_allowed,A,P,pattern,span_A,other_labels_A,span_P,other_labels_P,rubric_entry,diverged_at_step
ai_asked_probing_question,R3,8,ai,1,0,1,01,,ai_acknowledges_correction;ai_asks_followup;conversation_stalled;false_confidence,Are there any other errors you noticed or additional changes you'd like to see in the balance patch?,ai_acknowledges_correction;conversation_stalled;false_confidence,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R3,13,ai,1,0,1,01,,ai_asks_followup;false_confidence,Is there anything else you'd like me to adjust or any particular monster family you'd like to see more balancing for? I can also add more detail about specific ,false_confidence,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R3,19,ai,1,0,1,01,,ai_acknowledges_correction;ai_asks_followup,Are there any other units you'd like me to check and adjust in the balance patch?,ai_acknowledges_correction,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R3,22,ai,1,0,1,01,,ai_acknowledges_correction;ai_asks_followup,Any other units you'd like me to focus on or changes you'd like to see in the patch?,ai_acknowledges_correction,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R4,7,ai,1,0,1,01,,ai_acknowledges_correction;ai_asks_followup,Did they publish any theory about why AI models default to institutional channels even in clear-cut harm scenarios?,ai_acknowledges_correction,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R4,67,ai,1,1,0,10,<REDACTED> reads masculine to you?,,,,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R5,35,ai,1,0,1,01,,ai_asks_followup;ai_hedges_uncertainty,Have you found significant differences in how different AI systems handle this?,ai_hedges_uncertainty,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R7,14,ai,1,0,1,01,,adaptation;ai_asks_followup,Would you like me to make any specific adjustments or additions to this continuation?,adaptation,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asked_probing_question,R10,1,ai,1,0,1,01,,ai_asks_followup,Would you like me to explore any particular aspect of this tax history in more detail?,,"sharechat_rubric.json v0.5, 5 decision steps",
ai_asks_followup,R3,8,ai,1,1,0,10,Are there any other errors you noticed or additional changes you'd like to see in the balance patch?,ai_acknowledges_correction;conversation_stalled;false_confidence,,ai_acknowledges_correction;ai_asked_probing_question;conversation_stalled;false_confidence,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R3,13,ai,1,1,0,10,Is there anything else you'd like me to adjust or any particular monster family you'd like to see more balancing for?,false_confidence,,ai_asked_probing_question;false_confidence,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R3,19,ai,1,1,0,10,Are there any other units you'd like me to check and adjust in the balance patch?,ai_acknowledges_correction,,ai_acknowledges_correction;ai_asked_probing_question,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R3,22,ai,1,1,0,10,Any other units you'd like me to focus on or changes you'd like to see in the patch?,ai_acknowledges_correction,,ai_acknowledges_correction;ai_asked_probing_question,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R4,7,ai,1,1,0,10,Did they publish any theory about why AI models default to institutional channels even in clear-cut harm scenarios?,ai_acknowledges_correction,,ai_acknowledges_correction;ai_asked_probing_question,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R5,35,ai,1,1,0,10,Have you found significant differences in how different AI systems handle this?,ai_hedges_uncertainty,,ai_asked_probing_question;ai_hedges_uncertainty,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R7,14,ai,1,1,0,10,Would you like me to make any specific adjustments or additions to this continuation?,adaptation,,adaptation;ai_asked_probing_question,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asks_followup,R10,1,ai,1,1,0,10,Would you like me to explore any particular aspect of this tax history in more detail?,,,ai_asked_probing_question,"sharechat_rubric.json v0.5, 6 decision steps",
ai_asserts_knowledge_limit,R9,2,ai,1,0,1,01,,ethical_tension,Failed to fetch <URL>,ai_hedges_uncertainty;ethical_tension,"sharechat_rubric.json v0.5, 5 decision steps",
ai_hedges_uncertainty,R9,2,ai,1,0,1,01,,ethical_tension,"Without seeing the specific detailed proposals in their other chapters, I can't identify anything in their general framework that would conflict with my constit",ai_asserts_knowledge_limit;ethical_tension,"sharechat_rubric.json v0.5, 5 decision steps",
